query,locale,status,intent,realistic_shot_12mo,pillar,target_page,gsc_impressions,gsc_position,volume,volume_source,serp_owner_type,reasoning
aiterra / aiterra israel / aiterra agency,en,Target,Money,High,brand,/en + /en/about,,,"Suggest returns 10 completions but all belong to OTHER entities: aiterra tires, aiterra technologies ltd, aiterra gmbh, aiterra io",SERP,"Unrelated global entities (tyre brand, two GmbH/Ltd companies)","The only English query Aiterra can definitively win. Entity-disambiguation, not ranking: AiTerra + Israel + agency must co-occur in title, H1 and Organization schema or Google keeps serving the tyre brand"
seo services israel,en,Target,Money,Medium,seo,/en/services/seo,,,Suggest completes under both 'seo israel' and 'seo company israel' prefixes,SERP,"4 of 5 results are single-vendor pages (inter-dev, keyscouts, thatware, go-globe) + 1 directory","The single most enterable Israel-qualified English SERP found. Google is demonstrably willing to rank one agency's service page here. Requires the page to actually say Israel - it currently does not"
seo company israel,en,Target,Money,Medium,seo,/en/services/seo,,,Prefix echoes itself + returns 4 more completions,SERP,"Mixed: DesignRush/Clutch/Semrush/GoodFirms/TechBehemoths directories + inter-dev.co.il/seo/, masamedia.co.il, thatware.co","Vendor pages hold ~3 of 8 slots. Benchmark is brutal: masamedia = 2000+ words + full NAP + 12 testimonials; inter-dev = 1200-1500 words + 20 client logos + NAP + 'since 2007'. Aiterra has 936 words and no proof of any kind"
web design israel,en,Target,Money,Low-Medium,web-dev,/en/services/web-development,,,Prefix echoes itself + 'israeli web design company',SERP,"4 of 7 are agency sites (lemonstudio.co.il/eng, navoto, web-design.co.il, volle.co.il) + Clutch/ensun/Upwork","THE most important finding for the EN tree. 'web design israel' accepts vendor pages; 'web development company israel' does not. Aiterra's page uses the wrong noun"
website design israel,en,Target,Money,Low,web-dev,/en/services/web-development,,,"Prefix echoes itself; 'website development israel' canonicalises INTO it",SERP,Same as web design israel,"Google itself rewrites 'development' to 'design' in this geography. Strongest possible argument for changing the page's noun"
hebrew website design,en,Target,Money,Medium,web-dev,/en/services/web-development,,,"Prefix echoes itself, exactly one completion; 'hebrew website development' canonicalises into it",SERP,"No agency owns it - Fiverr $100 gig, Medium/ConveyThis/Weglot blogs, pojo.me theme shop, pragmasoftwares","The only genuinely uncontested Israel-adjacent English SERP. Aiterra's audited RTL engineering (~280 logical properties vs ~10 physical) is a real provable differentiator. Worth one H2, not a page. Rank shot medium, traffic tiny"
seo agency israel / seo agencies israel,en,Target,Money,Low,seo,/en/services/seo,,,'seo agencies israel' is the canonical form Suggest returns,SERP,"Clutch, SERanking, TheManifest directories + inter-dev, keyscouts, seoisrael.com, thatware","Same page, plural/agency variant. More directory-weighted than 'services'. Free to pick up as a secondary phrase; not worth its own effort"
digital agency israel,en,Target,Money,Low,brand,/en,,,"Prefix echoes itself and returns 6 more; 'digital marketing agency israel', 'creative agency israel', 'design agency israel' all live",SERP,"Clutch/DesignRush/TechBehemoths/DigitalAgencyNetwork directories + toyber.co.il, armour.studio","The agency-Israel family is alive where the web-development-Israel family is dead. Home page is the entity page, so this is its natural target"
israeli web design company,en,Target,Money,Low,web-dev,/en/services/web-development,,,Prefix echoes itself (only completion),SERP,"Directories + WebProm, Artyzine",Real phrase but very thin. Free secondary if the H1 carries 'web design company in Israel'
local seo israel,en,Target,Money,Low,seo,/en/services/seo,,,Prefix echoes itself,SERP,Not separately checked; parent family is mixed,"Worth one H2 on the SEO page. Genuinely small"
